filename, language, JSON with Comments, Markdown, JSON, Properties, JavaScript, XML, C#, HTML, TypeScript, CSS, comment, blank, total
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\.editorconfig, Properties, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 3, 14
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\README.md, Markdown, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 28
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\angular.json, JSON, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 19, 0, 125
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\e2e\protractor.conf.js, JavaScript, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 6, 2, 32
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\e2e\src\app.e2e-spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 5, 24
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\e2e\src\app.po.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\e2e\tsconfig.json, JSON, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\karma.conf.js, JavaScript, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 2, 33
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\package-lock.json, JSON, 0, 0, 14364, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14365
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\package.json, JSON, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\_guards\auth.guard.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\_guards\prevent-unsaved-changes.guard.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\_models\message.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\_models\pagination.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\_models\photo.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
